"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"360","ENSG00000225194",-1.99803335356761,-1.18963800574954,-8.44583332056585,3.50601872017383e-10,6.46921962972425e-09,13.1095531012234,"LINC00092"
"361","ENSG00000225218",-3.2964897111444,-0.282884808473511,-10.2871209849409,1.94650944830693e-12,8.97332180513657e-11,18.2737357691077,"AP001628.1"
"362","ENSG00000225231",-1.64869117275559,-0.405219287285115,-2.48457689792614,0.0175870708592359,0.0467101054954581,-4.20610288723869,"LINC02470"
"366","ENSG00000225331",-1.84395310463792,-1.50807158448049,-5.1792229383583,7.95908743587724e-06,4.86797326036694e-05,3.16680333311307,"LINC01678"
"374","ENSG00000225470",-1.81667140678558,3.58380683530008,-7.33868036440905,9.67227303315251e-09,1.24819793406358e-07,9.810288704289,"JPX"
"378","ENSG00000225518",-1.62449341253927,-2.63520284980362,-5.40438763456851,3.94460641505813e-06,2.59296237314837e-05,3.85740247404123,"LINC01703"
"388","ENSG00000225643",-3.2476314978966,-0.44834121707377,-10.1493662434179,2.82785227324185e-12,1.16635044250279e-10,17.9027620055525,"AL606491.1"
"395","ENSG00000225684",-1.61030932448821,-1.87837550245342,-7.75219932475669,2.75998556031386e-09,4.1174678199434e-08,11.057050791022,"FAM225B"
"402","ENSG00000225783",-1.92823429725324,3.8414058880437,-5.39047054729595,4.1197948350467e-06,2.70389654774438e-05,3.81461074427552,"MIAT"
"409","ENSG00000225880",-1.56905847379156,1.35282033338642,-6.5140835404948,1.23033479710605e-07,1.18173938160391e-06,7.28539127707216,"LINC00115"
"413","ENSG00000225948",-3.44495420305196,0.340262418516603,-8.64102761542945,1.98135684173898e-10,4.0463923462116e-09,13.6773409631853,"LINC02648"
"414","ENSG00000225975",-2.52234550361684,-0.0391590147124242,-8.08419329346921,1.02121814514202e-09,1.78268246332468e-08,12.0459565002956,"LINC01534"
"415","ENSG00000225978",-1.8237279665649,-1.34461297833281,-7.16254427220598,1.65798994172555e-08,2.03357541832052e-07,9.2747686083588,"HAR1A"
"419","ENSG00000226012",2.28493950178164,0.0136313120650946,5.04162631939414,1.2204854259395e-05,7.2420059053984e-05,2.7469567678605,"AP001434.1"
"420","ENSG00000226029",-2.0072103147622,1.74719612244659,-8.50211886949109,2.97264064496636e-10,5.65877791555361e-09,13.273741930587,"LINC01772"
"429","ENSG00000226137",-1.92247952066043,1.36859294063174,-6.76392708837489,5.66520794752404e-08,5.95838245880841e-07,8.05467391161539,"BAIAP2-DT"
"432","ENSG00000226180",-3.09773014193718,0.041240986733724,-14.2777579081171,1.09731092868925e-16,9.70129088456599e-14,27.9401792792917,"AC010536.1"
"436","ENSG00000226240",-2.02133354842053,-1.76569838718635,-7.18556460241588,1.54499402661986e-08,1.91255460970038e-07,9.34489661290034,"LINC00381"
"448","ENSG00000226375",-1.53872132006656,-1.7478466970359,-4.8061245555849,2.52796484164574e-05,0.000140120528179231,2.03335453446848,"AL022310.1"
"449","ENSG00000226380",-1.56725377787092,2.36433399449334,-5.20230113521234,7.40746340391339e-06,4.55602317840112e-05,3.23739878654793,"AC016831.1"
"450","ENSG00000226383",-2.31606065141729,-1.20604159575145,-6.55267176241953,1.09120055636356e-07,1.06512314167552e-06,7.40438596667269,"LINC01876"
"452","ENSG00000226423",-2.8081352802959,-0.998894145781896,-8.57191867047983,2.42375666936001e-10,4.85559252761789e-09,13.4768329644604,"AC093642.1"
"459","ENSG00000226530",-2.79244696331904,-1.19950168904017,-9.98081530842326,4.48104748000773e-12,1.6831934596779e-10,17.4453929095484,"AL158055.1"
"462","ENSG00000226578",-1.50628760720244,-2.06000988513273,-4.63569313986288,4.26659558039291e-05,0.000225780724612742,1.52173735437637,"AL132657.1"
"466","ENSG00000226640",-1.88553352816893,-1.95437218816366,-6.53508134072307,1.15254724544848e-07,1.11722724921699e-06,7.35014949946891,"AL357793.1"
"478","ENSG00000226791",-2.03756151690832,-0.858001973555842,-6.98216868811746,2.88681895893182e-08,3.30922271395808e-07,8.72395349902049,"LINC02611"
"493","ENSG00000226950",-1.97490458175396,2.8150326492749,-6.0781695760482,4.79377709969811e-07,4.02543318531536e-06,5.93825752661623,"DANCR"
"512","ENSG00000227195",-2.46338886388164,-1.13241317094978,-6.32915647232175,2.18886492460542e-07,2.00622107577669e-06,6.71442316863191,"MIR663AHG"
